title,directions
French Onion Soup,"Heat butter in heavy kettle., Add sliced onions; brown well, stirring constantly., Add beef and chicken stock, the Worcestershire sauce, bay leaf, garlic salt and pepper., Allow to simmer for 40 minutes., Remove the bay leaf; add salt., Prepare with a slice of toasted French bread (1/2-inch thick)., Add a thick slice of Swiss cheese (1/4-inch thick), overlapping the bowl., Put under the broiler until cheese is melted and bubbly."
Apple Pie,"Put in unbaked pie shell., Top apples with 2 tablespoons margarine with crust., Brush milk on top of crust and sprinkle with sugar., Bake on bottom shelf at 400° for 45 minutes."
Sloppy Joes,"Brown and drain hamburger., Add the remaining ingredients and simmer for 20 minutes."
7-Up Cake,"Mix sugar and butter thoroughly, then add egg, flour, egg, flour, etc. until all eggs and flour are mixed thoroughly, either with hand mixer or electric beater/mixer., Then add lemon flavor and your 7-Up (the 7-Up will make the cake rise); add yellow food coloring which is optional., Bake at 325° to 350° for 45 minutes to 1 hour, depending on oven., Insert toothpick after 45 minutes. Cook in Bundt pan. Let cool 25 minutes., Cake is done."
Corned Beef Dip,Mix ingredients together until they are completely blended.
Chocolate Pie,"Mix dry ingredients; add milk., Beat in egg yolks., Pour on 1 cup boiling water., Mix and cook until thick., Cool., Pour in baked pie shell., Cover with meringue and brown in oven."
Tater Tot Casserole,"Spread Tater Tots in large cake pan, 9 x 13-inch. Brown meat and onions; drain well., Pour meat mixture over Tater Tots. Mix all 3 soups in a bowl., Pour over meat and Tater Tots. Sprinkle grated cheese to cover soup., Bake at 325° for 1 hour., As you brown meat and onions, salt and pepper well."
Blackberry Pie,"Combine sugar, cornstarch and water in a heavy saucepan; cook over medium heat, stirring constantly, until thickened., Remove from heat; add gelatin, stirring until dissolved., Gently stir in blackberries., Pour into pastry shell., Chill until firm., Serve with Cool Whip or ice cream., Easy and so tasty."
Caramel Pie,"Mix Cool Whip, softened cream cheese and Eagle Brand milk. Beat for 1 minute., Pour in pie crusts., Melt margarine and mix with coconut and almonds., Place on cookie sheet and cook for 10 minutes at 350°., Watch closely and stir often., (I like mine toasty.), Pour coconut, almond mixture over top of pies., Pour caramel topping over the 3 pies., Freeze."
Dill Dip,"Mix all ingredients together., Let sit in refrigerator several hours before serving., Serve with raw cauliflower, broccoli, carrots, celery, mushrooms and cherry tomatoes."
Broccoli Cornbread,"Fry onion in oil., Set aside., Cook broccoli as directed. Drain and set aside., Melt oleo., Grease 8 x 8-inch pan., Mix cornbread mix and eggs., Add cottage cheese, broccoli, onions and melted oleo margarine., Stir well., Pour into pan and bake at 450° for 20 to 25 minutes."
Vegetable Soup,"Slice the vegetables., Cook in small amount of water until tender., Add the cooked macaroni, green beans and peas., Add bay leaf and Italian seasoning., Cook beef or turkey until it changes color., Add to vegetables., Pour in tomato juice., Bring to boil. Reduce to simmer., If soup is too thick, add more tomato juice."
Chocolate Peanut Butter Cake,"In saucepan, melt oleo; add cocoa., Combine remaining ingredients and add oleo-cocoa mixture., Bake in 9 x 13-inch pan for 30 minutes at 350°., While still hot, punch holes in cake. Spread on cake, 1/2 cup peanut butter mixed with 1 1/2 tsp. oil."
Magic Cookie Bars,"Preheat oven to 350° (325° for glass dish)., In 13 x 9-inch pan, melt butter in oven., Sprinkle with crumbs., Top with Eagle Brand milk evenly., Top with remaining ingredients., Press down. Bake 25 to 30 minutes until lightly brown., Cool or chill., Cut into bars; store, loosely covered, at room temperature."
Pecan Pralines,"Combine sugars and evaporated milk in heavy saucepan. Cook over medium heat. Stir in butter, pecans and coconut. Cook until candy reaches soft ball stage. (Mixture will form a soft ball when dropped in a cup of cold water.), Cool 2 minutes. Beat until thick, but glossy., Drop by tablespoon onto wax paper. Cool thoroughly."
"Chocolate ""Stuff""","Make pudding as directed on package, then add vanilla wafers. Smooth on Cool Whip and sprinkle with pecans."
Easy Chocolate Frosting,"Bring sugar, butter and milk to a boil and boil 1 minute. Remove from stove and add chocolate chips and vanilla and beat. (Might need about 1/2 cup powdered sugar.)"
No Bake Pumpkin Pie,"Combine gelatine, spices, condensed milk and eggs on low heat until gelatine dissolves (10 minutes). Remove from heat. Stir in pumpkin., Pour in baked pie shells, then chill 3 hours. Garnish with Cool Whip and chopped pecans."
Baked French Toast,Mix all well in medium bowl and cut one 16 ounce loaf of Italian bread into 1-inch slices. Dip bread into mixture and put into large glass baking dish. Pour any remaining mixture over bread. Refrigerate overnight.
Puppy Chow,"Pour cereal into a very large bowl., In a 1-quart bowl, combine chips, peanut butter and margarine; microwave on High for 1 to 1 1/2 minutes until smooth., (Stir after 1 minute.), Pour chocolate mixture over cereal, stirring all pieces until all are coated., Then little by little, add the powdered sugar., Stir well each time the powdered sugar is added., May not need entire box of powdered sugar."
Tamale Casserole,"Preheat oven to 350°., Peel wrappers off tamales and chop in large bowl., Drain hominy, olives and peppers., Add them to tamales., Mix well., Place in 9 x 13 x 3-inch baking dish., Spread out evenly., Sprinkle cheese over top and olives if desired., Bake 20 to 30 minutes., Serves 8., Serve with Spanish rice and corn chips."
Taco Dip,"Layer the above ingredients in a 9 x 13 inch dish., Press down with spatula., Serve with Doritos."
Bonnie'S Bread,"Can use dehydrated potato flakes., Add flour as desired. Dough should be soft and elastic., Bake as rolls or bread at 350°. Bread is done when it sounds hollow when tapped."
Chicken Pot Pie,"Combine the first five ingredients and place in a 9 x 12-inch casserole dish., Mix next four ingredients and pour over top of chicken mixture., Do not stir., Bake at 425° for 45 minutes to one hour until crust rises and browns."
Smoked Turkey Risotto,"In medium-size saucepan, bring the stock to a boil over medium heat., Lower the heat, add the artichoke hearts, cover and simmer for about 10 minutes or until tender., With a slotted spoon, transfer the artichoke hearts to a bowl and cover to keep warm."
Eggplant Spaghetti Sauce,"Heat oil in large pot., Add all the vegetables and the garlic. Saute over medium heat for 15 minutes stirring frequently., Add tomatoes and tomato sauce and all the seasonings., Bring to a boil and then reduce heat., Cover and simmer for 3 to 4 hours., During the last hour of cooking, add the wine."
Watergate Cake,"Combine box cake mix, oil, instant pudding, ginger ale, eggs, and pecans., Pour into a 13 x 9-inch pan that has been greased and floured., Bake at 350° for 30 minutes. Cool and add topping when ready to serve. For topping the cake, mix cool whip, milk and pistachio instant pudding mix. Pour over cake and let set."
Plum Muffins,"Mix all ingredients together., Drop into greased muffin tins. Bake at 325° for 15 to 20 minutes or until done."
Cranberry Punch,"Mix and put in punch bowl., Top with sherbert."
Sweet Potato Pie,"With mixer, cream potatoes, butter and sugar until smooth and creamy., Watch out for strings in potatoes., Add eggs, one at a time., Mix after each egg., Add seasoning, then milk., Pour into unbaked pie shell., Bake at 350° for 45 minutes."
Butternut Pound Cake,"Cream sugar and Crisco well., Add eggs, one at a time., Beat well., Add flour and milk alternately on medium., Last, add flavors., Beat 2 minutes., Heat oven to 325°., Pour batter into greased and floured cake pan., Bake for 1 hour."
Morning Glory Muffins,"Combine first 5 ingredients in a large mixing bowl; stir in carrots and next 4 ingredients., Make a well in center of mixture. Combine vegetable oil and remaining ingredients., Add to flour mixture, stirring until moistened., Place paper baking cups in muffin pans., Spoon batter into paper cups, filling 2/3 full. Bake at 350° for 25 minutes or until golden brown., Remove from pans immediately., Makes 22 muffins."
Chicken Breasts With Wild Rice,"Combine first 5 ingredients together., Pour into greased 9 x 13-inch microwave dish., Lay chicken breasts on top of rice mixture, with heavy side of breasts at corners of the dish., Brush with melted butter or margarine and sprinkle evenly with cornflake crumbs."
Creole Green Beans,"Saute green pepper and onion in hot bacon drippings until tender. Add flour, salt, sugar and paprika., Stir until blended. Add tomatoes and simmer for about 15 minutes., Stir in green peas; heat through and serve."
Banana Bread,"Mix eggs, bananas, butter and sugar in blender or food processor., Mix remaining ingredients., Add the two mixtures together., Pour in greased pan and bake at 350° for 45 minutes."
Corned Beef Hash Swirls,"Make dough according to Bisquick directions on box., Roll out until about 1 inch thick., (Shape, as you roll out into an oblong shape.), Thinly spread with a knife, mustard on top of dough. Then, salt and pepper lightly or to taste., Spread corned beef hash on top of the mustard, salt and pepper., Then, lengthwise, roll up securely and pan freeze., When frozen, take out and with a sharp knife, cut roll into 3/4 to 1 inch slices., Bake in moderate oven at approximately 350° for 15 or 20 minutes or freeze, individually and reheat frozen for a longer period of time., Whether you serve right away or serve after being frozen, pour on top either a cream cheese sauce or a sauce made of 1 can of cream of celery soup, adding a little water., A good lunch!!"
Patio Potatoes,"Mix all together and put in greased 9 x 13-inch casserole dish., Top with 2 cups corn flakes (crushed) and mixed with 1/2 cup melted margarine., Bake at 350° for 45 minutes."
Sky High Biscuits,"Combine dry ingredients., Cut in butter as you would for pie crust., Add milk and egg quickly and stir briefly., Knead for a few minutes., Roll to 1-inch thickness., Cut into biscuits., Bake at 450° for 12 to 15 minutes on greased cookie sheets."
Lasagne,"In a large skillet brown the hamburger., Drain the fat., Stir in the jar of spaghetti sauce., Heat until warm., In a 3 to 4-quart saucepan fill to about an inch below the rim with water. Bring to a boil and add noodles., Cook until soft., In a large baking pan (8 x 10-inch or bigger) cover the bottom with 4 noodles., Smother with Mozzarella (and Ricotta if you have it) and start your next layer of noodles., Bake in oven at 350° until cheese is melted."
German Potato Salad,"Boil the potatoes until done., Peel and slice while still warm., Stir while pouring on the vinegar and hot grease., Garnish with the bacon and chopped parsley, if available., Sprinkle with sugar if too tart due to the vinegar."
Coconut Pie,"Mix flour, sugar and coconut in a bowl., Beat eggs and add milk, butter and flavoring. Then add dry ingredients., Pour into well greased pie plate and bake at 350° for 45 minutes to 1 hour or until golden brown., This pie makes its own crust."
Bullets,"Mix together ground beef with salt and pepper and enough flour to hold meat together., Roll into meat balls. Roll meat balls in more flour to coat. Drop meat balls into boiling water and cook. It will make its own gravy., Serve over rice or mashed potatoes. May add more seasoning to taste as these are very bland."
Mom'S Pancakes,"Sift flour with baking powder, salt and sugar into a medium bowl., With rotary beater, beat egg., Add milk and butter; beat until well mixed., Pour this into dry ingredients; beat only until combined., Batter will be lumpy."
